Title, Type of course, Instructor, Platform, Start date, Fees, Status, Department
Crisis Code: Teaching Crisis Management Skills to Enhance Management of Advanced Cardiac Life Support,In Session and Upcoming,,Stanford OpenEdX,September 1| 2015,,In Session,Continuing Medical Education
Antimicrobial Stewardship: Optimization of Antibiotic Practices (CME),In Session and Upcoming,,,,Free,Rolling,Continuing Medical Education
Audio Signal Processing for Music Applications,In Session and Upcoming,,Coursera,,,Rolling,
Behaviorally Informed Design for Energy Conservation,In Session and Upcoming,,,July 1| 2016,Fee may apply,Upcoming,Stanford Center for Professional Development
Building Business Models,In Session and Upcoming,,,,Fee may apply,In Session,Graduate School of Business
Cancer Clinical Trials: Practical Tips to Improve Asian American Participation (CME),In Session and Upcoming,,Stanford OpenEdX,October 16| 2015,,In Session,Continuing Medical Education
Careers in Media Technology,In Session and Upcoming,,Kadenze,,Free,Rolling,
Case Studies in Adverse Patient Care Events (CME),In Session and Upcoming,,,,,Upcoming,Continuing Medical Education
Child Nutrition and Cooking,In Session and Upcoming,Maya Adam,Coursera,,,Rolling,
Congenital Hypothyroidism: What Every Primary Care Provider Needs to Know,In Session and Upcoming,,Stanford OpenEdX,September 4| 2015,,In Session,Continuing Medical Education
Constructive Classroom Conversations: Analyzing Student Language through Formative Assessment,In Session and Upcoming,,,October 4| 2016,,In Session,
Converting Strategy Into Action,In Session and Upcoming,,,,Fee may apply,In Session,Stanford Center for Professional Development
Creating Demand: Driving Growth Using Traditional| Social and Viral Marketing,In Session and Upcoming,,,,Fee may apply,In Session,Graduate School of Business
Cryptography II,In Session and Upcoming,Dan Boneh,Coursera,,,Upcoming,
Cultivating an Entrepreneurial Mindset,In Session and Upcoming,,,,Fee may apply,In Session,
Cyber Security and Executive Strategy,In Session and Upcoming,,,,Fee may apply,Rolling,Stanford Center for Professional Development
Cyber Security Graduate Certificate,In Session and Upcoming,,,,,In Session,
Data-Driven Marketing,In Session and Upcoming,,,June 26| 2017,Fee may apply,Upcoming,Continuing Studies
Decision Analysis,In Session and Upcoming,,,,,In Session,Stanford Center for Professional Development
Decision Quality,In Session and Upcoming,,,,,In Session,Stanford Center for Professional Development
